distinctive	(adj) 有特色的;特殊的	(n) 壞人;反派角色	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅
porter	(n) 搬運工人,腳夫	(n) 擁有;佔有;所有物	(n) 懷孕	(n) 介系詞;前置詞
possession	(n) 擁有;佔有;所有物	(n) 懷孕	(n) 介系詞;前置詞	(n) 贈送;呈現;介紹,引見
pregnancy	(n) 懷孕	(n) 介系詞;前置詞	(n) 贈送;呈現;介紹,引見	(n) 維護;維持;保存;保藏;防腐
preposition	(n) 介系詞;前置詞	(n) 贈送;呈現;介紹,引見	(n) 維護;維持;保存;保藏;防腐	(n) 預防,防止
presentation	(n) 贈送;呈現;介紹,引見	(n) 維護;維持;保存;保藏;防腐	(n) 預防,防止	(n) 最初,初期
preservation	(n) 維護;維持;保存;保藏;防腐	(n) 預防,防止	(n) 最初,初期	(n) 祕密,私下
prevention	(n) 預防,防止	(n) 最初,初期	(n) 祕密,私下	(n) 特權;優特
prime	(n) 最初,初期	(n) 祕密,私下	(n) 特權;優特	(n) 程序;手續;步驟
privacy	(n) 祕密,私下	(n) 特權;優特	(n) 程序;手續;步驟	(n) 製造;生產
privilege	(n) 特權;優特	(n) 程序;手續;步驟	(n) 製造;生產	(n) 職業同行
procedure	(n) 程序;手續;步驟	(n) 製造;生產	(n) 職業同行	(n) 專家,內行
production	(n) 製造;生產	(n) 職業同行	(n) 專家,內行	(n) 教授
profession	(n) 職業同行	(n) 專家,內行	(n) 教授	(n) 提升,晉級
professional	(n) 專家,內行	(n) 教授	(n) 提升,晉級	(n) 催促;提醒
professor	(n) 教授	(n) 提升,晉級	(n) 催促;提醒	(n) 代名詞
promotion	(n) 提升,晉級	(n) 催促;提醒	(n) 代名詞	(n) 發音;發音法;讀法
prompt	(n) 催促;提醒	(n) 代名詞	(n) 發音;發音法;讀法	(n) 興旺,繁榮,昌盛,成功
pronoun	(n) 代名詞	(n) 發音;發音法;讀法	(n) 興旺,繁榮,昌盛,成功	(n) 蛋白質
pronunciation	(n) 發音;發音法;讀法	(n) 興旺,繁榮,昌盛,成功	(n) 蛋白質	(n) 抗議,異議
prosperity	(n) 興旺,繁榮,昌盛,成功	(n) 蛋白質	(n) 抗議,異議	(n) 諺語,俗語
protein	(n) 蛋白質	(n) 抗議,異議	(n) 諺語,俗語	(n) 心理學家
protest	(n) 抗議,異議	(n) 諺語,俗語	(n) 心理學家	(n) 心理學
proverb	(n) 諺語,俗語	(n) 心理學家	(n) 心理學	(n) 出版;發表,宣佈
psychologist	(n) 心理學家	(n) 心理學	(n) 出版;發表,宣佈	(n) 名聲;宣傳
psychology	(n) 心理學	(n) 出版;發表,宣佈	(n) 名聲;宣傳	(n) 出版商
publication	(n) 出版;發表,宣佈	(n) 名聲;宣傳	(n) 出版商	(n) 追蹤,追擊
publicity	(n) 名聲;宣傳	(n) 出版商	(n) 追蹤,追擊	(n) 地震;顫抖;搖晃
publisher	(n) 出版商	(n) 追蹤,追擊	(n) 地震;顫抖;搖晃	(n) 被(子);被褥
pursuit	(n) 追蹤,追擊	(n) 地震;顫抖;搖晃	(n) 被(子);被褥	(n) 引用;引證;引文
quake	(n) 地震;顫抖;搖晃	(n) 被(子);被褥	(n) 引用;引證;引文	(n) 狂怒,盛怒
quilt	(n) 被(子);被褥	(n) 引用;引證;引文	(n) 狂怒,盛怒	(n) 降雨,下雨;降雨量
quotation	(n) 引用;引證;引文	(n) 狂怒,盛怒	(n) 降雨,下雨;降雨量	(n) 造反者;反抗者
rage	(n) 狂怒,盛怒	(n) 降雨,下雨;降雨量	(n) 造反者;反抗者	(n) 回想;收回
rainfall	(n) 降雨,下雨;降雨量	(n) 造反者;反抗者	(n) 回想;收回	(n) 接待,接見;接待處
rebel	(n) 造反者;反抗者	(n) 回想;收回	(n) 接待,接見;接待處	(n) 食譜
recall	(n) 回想;收回	(n) 接待,接見;接待處	(n) 食譜	(n) 認出,識別;承認
reception	(n) 接待,接見;接待處	(n) 食譜	(n) 認出,識別;承認	(n) 恢復,復甦;復元,痊癒
recipe	(n) 食譜	(n) 認出,識別;承認	(n) 恢復,復甦;復元,痊癒	(n) 消遣;娛樂
recognition	(n) 認出,識別;承認	(n) 恢復,復甦;復元,痊癒	(n) 消遣;娛樂	(n) 減少;削減
recovery	(n) 恢復,復甦;復元,痊癒	(n) 消遣;娛樂	(n) 減少;削減	(n) 參考文獻;出處;提及
recreation	(n) 消遣;娛樂	(n) 減少;削減	(n) 參考文獻;出處;提及	(n) 反射;回響
reduction	(n) 減少;削減	(n) 參考文獻;出處;提及	(n) 反射;回響	(n) 改革,改良
reference	(n) 參考文獻;出處;提及	(n) 反射;回響	(n) 改革,改良	(n) 難民;流亡者
reflection	(n) 反射;回響	(n) 改革,改良	(n) 難民;流亡者	(n) 拒絕
reform	(n) 改革,改良	(n) 難民;流亡者	(n) 拒絕	(n) 登記,註冊
refugee	(n) 難民;流亡者	(n) 拒絕	(n) 登記,註冊	(n) 登記,註冊,掛號
refusal	(n) 拒絕	(n) 登記,註冊	(n) 登記,註冊,掛號	(n) 規章;規則,規定;條例
register	(n) 登記,註冊	(n) 登記,註冊,掛號	(n) 規章;規則,規定;條例	(n) 拒絕;退回
registration	(n) 登記,註冊,掛號	(n) 規章;規則,規定;條例	(n) 拒絕;退回	(n) 親戚
regulation	(n) 規章;規則,規定;條例	(n) 拒絕;退回	(n) 親戚	(n) 緩和,放寬,減輕
rejection	(n) 拒絕;退回	(n) 親戚	(n) 緩和,放寬,減輕	(n) 言辭;談論,評論
relative	(n) 親戚	(n) 緩和,放寬,減輕	(n) 言辭;談論,評論	(n) 治療;治療法;藥物
relaxation	(n) 緩和,放寬,減輕	(n) 言辭;談論,評論	(n) 治療;治療法;藥物	(n) 重複;反覆
remark	(n) 言辭;談論,評論	(n) 治療;治療法;藥物	(n) 重複;反覆	(n) 代表,代理
remedy	(n) 治療;治療法;藥物	(n) 重複;反覆	(n) 代表,代理	(n) 名譽,名聲
repetition	(n) 重複;反覆	(n) 代表,代理	(n) 名譽,名聲	(n) 援救;營救
representation	(n) 代表,代理	(n) 名譽,名聲	(n) 援救;營救	(n) (學術)研究;調查,探究
reputation	(n) 名譽,名聲	(n) 援救;營救	(n) (學術)研究;調查,探究	(n) 研究員;調查者
rescue	(n) 援救;營救	(n) (學術)研究;調查,探究	(n) 研究員;調查者	(n) 保留(意見);預訂的房間(或席座)
research	(n) (學術)研究;調查,探究	(n) 研究員;調查者	(n) 保留(意見);預訂的房間(或席座)	(n) 辭職;放棄
researcher	(n) 研究員;調查者	(n) 保留(意見);預訂的房間(或席座)	(n) 辭職;放棄	(n) 抵抗,反抗
reservation	(n) 保留(意見);預訂的房間(或席座)	(n) 辭職;放棄	(n) 抵抗,反抗	(n) 決心;決定;解決
resignation	(n) 辭職;放棄	(n) 抵抗,反抗	(n) 決心;決定;解決	(n) 決心,決意;堅決,剛毅,果斷
resistance	(n) 抵抗,反抗	(n) 決心;決定;解決	(n) 決心,決意;堅決,剛毅,果斷	(n) 限制;約束;限定;限制規定
resolution	(n) 決心;決定;解決	(n) 決心,決意;堅決,剛毅,果斷	(n) 限制;約束;限定;限制規定	(n) 退休
resolve	(n) 決心,決意;堅決,剛毅,果斷	(n) 限制;約束;限定;限制規定	(n) 退休	(n) 撤退
restriction	(n) 限制;約束;限定;限制規定	(n) 退休	(n) 撤退	(n) 團聚;重聚
retirement	(n) 退休	(n) 撤退	(n) 團聚;重聚	(n) 報仇;報復
retreat	(n) 撤退	(n) 團聚;重聚	(n) 報仇;報復	(n) 修訂;校訂;修正
reunion	(n) 團聚;重聚	(n) 報仇;報復	(n) 修訂;校訂;修正	(n) 革命;循環
revenge	(n) 報仇;報復	(n) 修訂;校訂;修正	(n) 革命;循環	(n) 革命者
revision	(n) 修訂;校訂;修正	(n) 革命;循環	(n) 革命者	(n) 報答;報償;獎賞
revolution	(n) 革命;循環	(n) 革命者	(n) 報答;報償;獎賞	(n) 韻,韻腳
revolutionary	(n) 革命者	(n) 報答;報償;獎賞	(n) 韻,韻腳	(n) 節奏;韻律
reward	(n) 報答;報償;獎賞	(n) 韻,韻腳	(n) 節奏;韻律	(n) 戀愛,風流韻事;愛情小說
rhyme	(n) 韻,韻腳	(n) 節奏;韻律	(n) 戀愛,風流韻事;愛情小說	(n) 路;路線;路程
rhythm	(n) 節奏;韻律	(n) 戀愛,風流韻事;愛情小說	(n) 路;路線;路程	(n) 毀滅;崩潰;廢墟;傾家蕩產
romance	(n) 戀愛,風流韻事;愛情小說	(n) 路;路線;路程	(n) 毀滅;崩潰;廢墟;傾家蕩產	(n) 牲禮,祭品
route	(n) 路;路線;路程	(n) 毀滅;崩潰;廢墟;傾家蕩產	(n) 牲禮,祭品	(n) 薪資,薪水
ruin	(n) 毀滅;崩潰;廢墟;傾家蕩產	(n) 牲禮,祭品	(n) 薪資,薪水	(n) 售貨員
sacrifice	(n) 牲禮,祭品	(n) 薪資,薪水	(n) 售貨員	(n) 店員,售貨員
salary	(n) 薪資,薪水	(n) 售貨員	(n) 店員,售貨員	(n) 女店員;售貨員
salesman	(n) 售貨員	(n) 店員,售貨員	(n) 女店員;售貨員	(n) 衛星
salesperson	(n) 店員,售貨員	(n) 女店員;售貨員	(n) 衛星	(n) 滿意,滿足
saleswoman	(n) 女店員;售貨員	(n) 衛星	(n) 滿意,滿足	(n) 風景
satellite	(n) 衛星	(n) 滿意,滿足	(n) 風景	(n) 責罵
satisfaction	(n) 滿意,滿足	(n) 風景	(n) 責罵	(n) 抓痕;擦傷
scenery	(n) 風景	(n) 責罵	(n) 抓痕;擦傷	(n) 螺絲刀;螺絲起子
scold	(n) 責罵	(n) 抓痕;擦傷	(n) 螺絲刀;螺絲起子	(n) 雕刻品,雕塑品;雕
scratch	(n) 抓痕;擦傷	(n) 螺絲刀;螺絲起子	(n) 雕刻品,雕塑品;雕	(n) 海鷗
screwdriver	(n) 螺絲刀;螺絲起子	(n) 雕刻品,雕塑品;雕	(n) 海鷗	(n) 資深人士;(大學)四年級生
sculpture	(n) 雕刻品,雕塑品;雕	(n) 海鷗	(n) 資深人士;(大學)四年級生	(n) 殖民者;開拓者
seagull	(n) 海鷗	(n) 資深人士;(大學)四年級生	(n) 殖民者;開拓者	(n) 理髮師
senior	(n) 資深人士;(大學)四年級生	(n) 殖民者;開拓者	(n) 理髮師	(n) 遮蓋物;避難所
settler	(n) 殖民者;開拓者	(n) 理髮師	(n) 遮蓋物;避難所	(n) 移動
shaver	(n) 理髮師	(n) 遮蓋物;避難所	(n) 移動	(n) 聳肩
shelter	(n) 遮蓋物;避難所	(n) 移動	(n) 聳肩	(n) (織機的)梭;短程運行的車輛
shift	(n) 移動	(n) 聳肩	(n) (織機的)梭;短程運行的車輛	(n) 觀光,遊覽
shrug	(n) 聳肩	(n) (織機的)梭;短程運行的車輛	(n) 觀光,遊覽	(n) 重要性,重要
shuttle	(n) (織機的)梭;短程運行的車輛	(n) 觀光,遊覽	(n) 重要性,重要	(n) 真實;誠心誠意
sightseeing	(n) 觀光,遊覽	(n) 重要性,重要	(n) 真實;誠心誠意	(n) 單數
significance	(n) 重要性,重要	(n) 真實;誠心誠意	(n) 單數	(n) 地點,場所
sincerity	(n) 真實;誠心誠意	(n) 單數	(n) 地點,場所	(n) 速寫,素描
singular	(n) 單數	(n) 地點,場所	(n) 速寫,素描	(n) 平底雪橇
site	(n) 地點,場所	(n) 速寫,素描	(n) 平底雪橇	(n) 雪橇
sketch	(n) 速寫,素描	(n) 平底雪橇	(n) 雪橇	(n) (輕便)雪橇
sled	(n) 平底雪橇	(n) 雪橇	(n) (輕便)雪橇	(n) 輕蔑;怠慢
sledge	(n) 雪橇	(n) (輕便)雪橇	(n) 輕蔑;怠慢	(n) 口號,標語
sleigh	(n) (輕便)雪橇	(n) 輕蔑;怠慢	(n) 口號,標語	(n) 煙霧
slight	(n) 輕蔑;怠慢	(n) 口號,標語	(n) 煙霧	(n) 噴嚏
slogan	(n) 口號,標語	(n) 煙霧	(n) 噴嚏	(n) 嗚咽(聲),啜泣(聲)
smog	(n) 煙霧	(n) 噴嚏	(n) 嗚咽(聲),啜泣(聲)	(n) 插座;插口
sneeze	(n) 噴嚏	(n) 嗚咽(聲),啜泣(聲)	(n) 插座;插口	(n) 軟體
sob	(n) 嗚咽(聲),啜泣(聲)	(n) 插座;插口	(n) 軟體	(n) (大學;高中的)二年級學生
socket	(n) 插座;插口	(n) 軟體	(n) (大學;高中的)二年級學生	(n) 紀念品,紀念物
software	(n) 軟體	(n) (大學;高中的)二年級學生	(n) 紀念品,紀念物	(n) 備用品;備用零件
sophomore	(n) (大學;高中的)二年級學生	(n) 紀念品,紀念物	(n) 備用品;備用零件	(n) 火花,火星
souvenir	(n) 紀念品,紀念物	(n) 備用品;備用零件	(n) 火花,火星	(n) 火花;閃耀,閃光
spare	(n) 備用品;備用零件	(n) 火花,火星	(n) 火花;閃耀,閃光	(n) 麻雀
spark	(n) 火花,火星	(n) 火花;閃耀,閃光	(n) 麻雀	(n) 矛;魚叉
sparkle	(n) 火花;閃耀,閃光	(n) 麻雀	(n) 矛;魚叉	(n) 種類;種
sparrow	(n) 麻雀	(n) 矛;魚叉	(n) 種類;種	(n) 分裂;分割
spear	(n) 矛;魚叉	(n) 種類;種	(n) 分裂;分割	(n) 運動家;願意冒險的人
species	(n) 種類;種	(n) 分裂;分割	(n) 運動家;願意冒險的人	(n) 運動員精神,運動道德
split	(n) 分裂;分割	(n) 運動家;願意冒險的人	(n) 運動員精神,運動道德	(n) 女運動家
sportsman	(n) 運動家;願意冒險的人	(n) 運動員精神,運動道德	(n) 女運動家	(n) 狀況,狀態
sportsmanship	(n) 運動員精神,運動道德	(n) 女運動家	(n) 狀況,狀態	(n) 莖,(樹)幹,(葉)柄
sportswoman	(n) 女運動家	(n) 狀況,狀態	(n) 莖,(樹)幹,(葉)柄	(n) 中風;打,擊;(寫字,繪畫的)一筆
status	(n) 狀況,狀態	(n) 莖,(樹)幹,(葉)柄	(n) 中風;打,擊;(寫字,繪畫的)一筆	(n) 潛艇
stem	(n) 莖,(樹)幹,(葉)柄	(n) 中風;打,擊;(寫字,繪畫的)一筆	(n) 潛艇	(n) 建議,提議
stroke	(n) 中風;打,擊;(寫字,繪畫的)一筆	(n) 潛艇	(n) 建議,提議	(n) 海浪
submarine	(n) 潛艇	(n) 建議,提議	(n) 海浪	(n) 外科醫生
suggestion	(n) 建議,提議	(n) 海浪	(n) 外科醫生	(n) (外科)手術
surf	(n) 海浪	(n) 外科醫生	(n) (外科)手術	(n) 投降,自首
surgeon	(n) 外科醫生	(n) (外科)手術	(n) 投降,自首	(n) 周圍的事物;周圍的情況
surgery	(n) (外科)手術	(n) 投降,自首	(n) 周圍的事物;周圍的情況	(n) 搖動;搖擺;影響
surrender	(n) 投降,自首	(n) 周圍的事物;周圍的情況	(n) 搖動;搖擺;影響	(n) 音節
surroundings	(n) 周圍的事物;周圍的情況	(n) 搖動;搖擺;影響	(n) 音節	(n) 同情,同情心;弔唁
sway	(n) 搖動;搖擺;影響	(n) 音節	(n) 同情,同情心;弔唁	(n) 交響樂,交響曲
syllable	(n) 音節	(n) 同情,同情心;弔唁	(n) 交響樂,交響曲	(n) 糖漿
sympathy	(n) 同情,同情心;弔唁	(n) 交響樂,交響曲	(n) 糖漿	(n) 技術人員,技師
symphony	(n) 交響樂,交響曲	(n) 糖漿	(n) 技術人員,技師	(n) 電報
syrup	(n) 糖漿	(n) 技術人員,技師	(n) 電報	(n) 電報,電信
technician	(n) 技術人員,技師	(n) 電報	(n) 電報,電信	(n) 望遠鏡
telegram	(n) 電報	(n) 電報,電信	(n) 望遠鏡	(n) 傾向;癖性
telegraph	(n) 電報,電信	(n) 望遠鏡	(n) 傾向;癖性	(n) 緊張;張力
telescope	(n) 望遠鏡	(n) 傾向;癖性	(n) 緊張;張力	(n) 恐怖,驚駭
tendency	(n) 傾向;癖性	(n) 緊張;張力	(n) 恐怖,驚駭	(n) 主題思想;題材
tension	(n) 緊張;張力	(n) 恐怖,驚駭	(n) 主題思想;題材	(n) 寬容,寬大
terror	(n) 恐怖,驚駭	(n) 主題思想;題材	(n) 寬容,寬大	(n) 墓;墓碑
theme	(n) 主題思想;題材	(n) 寬容,寬大	(n) 墓;墓碑	(n) 悲劇
tolerance	(n) 寬容,寬大	(n) 墓;墓碑	(n) 悲劇	(n) 移交;轉讓
tomb	(n) 墓;墓碑	(n) 悲劇	(n) 移交;轉讓	(n) 譯文;譯本
tragedy	(n) 悲劇	(n) 移交;轉讓	(n) 譯文;譯本	(n) 譯者
transfer	(n) 移交;轉讓	(n) 譯文;譯本	(n) 譯者	(n) 運輸;輸送;交通車輛
translation	(n) 譯文;譯本	(n) 譯者	(n) 運輸;輸送;交通車輛	(n) 勝利
translator	(n) 譯者	(n) 運輸;輸送;交通車輛	(n) 勝利	(n) 拔河
transportation	(n) 運輸;輸送;交通車輛	(n) 勝利	(n) 拔河	(n) 閃爍,閃耀
triumph	(n) 勝利	(n) 拔河	(n) 閃爍,閃耀	(n) 打字員
tug-of-war	(n) 拔河	(n) 閃爍,閃耀	(n) 打字員	(n) 地下通道
twinkle	(n) 閃爍,閃耀	(n) 打字員	(n) 地下通道	(n) 獨一無二的人(或事物)
typist	(n) 打字員	(n) 地下通道	(n) 獨一無二的人(或事物)	(n) 普通性;普遍現象
underpass	(n) 地下通道	(n) 獨一無二的人(或事物)	(n) 普通性;普遍現象	(n) 大學
unique	(n) 獨一無二的人(或事物)	(n) 普通性;普遍現象	(n) 大學	(n) 強烈的慾望
universal	(n) 普通性;普遍現象	(n) 大學	(n) 強烈的慾望	(n) 使用,用法
university	(n) 大學	(n) 強烈的慾望	(n) 使用,用法	(n) 素食者
urge	(n) 強烈的慾望	(n) 使用,用法	(n) 素食者	(n) 動詞
usage	(n) 使用,用法	(n) 素食者	(n) 動詞	(n) 船,艦;器皿;血管
vegetarian	(n) 素食者	(n) 動詞	(n) 船,艦;器皿;血管	(n) 醋
verb	(n) 動詞	(n) 船,艦;器皿;血管	(n) 醋	(n) 違反;違背
vessel	(n) 船,艦;器皿;血管	(n) 醋	(n) 違反;違背	(n) 處女
vinegar	(n) 醋	(n) 違反;違背	(n) 處女	(n) 美德;優點
violation	(n) 違反;違背	(n) 處女	(n) 美德;優點	(n) 病毒
virgin	(n) 處女	(n) 美德;優點	(n) 病毒	(n) 火山
virtue	(n) 美德;優點	(n) 病毒	(n) 火山	(n) 志願者,義工
virus	(n) 病毒	(n) 火山	(n) 志願者,義工	(n) 母音字母
volcano	(n) 火山	(n) 志願者,義工	(n) 母音字母	(n) 乘船旅遊; 空中旅行
volunteer	(n) 志願者,義工	(n) 母音字母	(n) 乘船旅遊; 空中旅行	(n) 網站
vowel	(n) 母音字母	(n) 乘船旅遊; 空中旅行	(n) 網站	(n) 週刊;週報
voyage	(n) 乘船旅遊; 空中旅行	(n) 網站	(n) 週刊;週報	(n) 福利;社會救濟
website	(n) 網站	(n) 週刊;週報	(n) 福利;社會救濟	(n) 機智;風趣
weekly	(n) 週刊;週報	(n) 福利;社會救濟	(n) 機智;風趣	(n) 女巫,巫婆
welfare	(n) 福利;社會救濟	(n) 機智;風趣	(n) 女巫,巫婆	(n) 目擊者;證詞;證據
wit	(n) 機智;風趣	(n) 女巫,巫婆	(n) 目擊者;證詞;證據	(n) 奇才;高手;男巫
witch	(n) 女巫,巫婆	(n) 目擊者;證詞;證據	(n) 奇才;高手;男巫	(n) (船等的)失事,遇難
witness	(n) 目擊者;證詞;證據	(n) 奇才;高手;男巫	(n) (船等的)失事,遇難	(n) 皺;皺紋
wizard	(n) 奇才;高手;男巫	(n) (船等的)失事,遇難	(n) 皺;皺紋	(n) 優格
wreck	(n) (船等的)失事,遇難	(n) 皺;皺紋	(n) 優格	(adj) 突然的;意外的
wrinkle	(n) 皺;皺紋	(n) 優格	(adj) 突然的;意外的	(adj) 荒謬的;愚蠢的
yogurt	(n) 優格	(adj) 突然的;意外的	(adj) 荒謬的;愚蠢的	(adj) 大量的;充足的; 豐富的
abrupt	(adj) 突然的;意外的	(adj) 荒謬的;愚蠢的	(adj) 大量的;充足的; 豐富的	(adj) 第一流的;突出的
absurd	(adj) 荒謬的;愚蠢的	(adj) 大量的;充足的; 豐富的	(adj) 第一流的;突出的	(adj) 青少年的;未成熟的
abundant	(adj) 大量的;充足的; 豐富的	(adj) 第一流的;突出的	(adj) 青少年的;未成熟的	(adj) 農業的
ace	(adj) 第一流的;突出的	(adj) 青少年的;未成熟的	(adj) 農業的	(adj) 密閉的;無懈可擊的
adolescent	(adj) 青少年的;未成熟的	(adj) 農業的	(adj) 密閉的;無懈可擊的	(adj) 外國的;外國人的
agricultural	(adj) 農業的	(adj) 密閉的;無懈可擊的	(adj) 外國的;外國人的	(adj) 過敏的
airtight	(adj) 密閉的;無懈可擊的	(adj) 外國的;外國人的	(adj) 過敏的	(adj) 輪流的
alien	(adj) 外國的;外國人的	(adj) 過敏的	(adj) 輪流的	(adj) 大量的;充裕的
allergic	(adj) 過敏的	(adj) 輪流的	(adj) 大量的;充裕的	(adj) 年代久遠的;古董的
alternate	(adj) 輪流的	(adj) 大量的;充裕的	(adj) 年代久遠的;古董的	(adj) 易於...的;恰當的;聰明的
ample	(adj) 大量的;充裕的	(adj) 年代久遠的;古董的	(adj) 易於...的;恰當的;聰明的	(adj) 迷路的;離開正道的
antique	(adj) 年代久遠的;古董的	(adj) 易於...的;恰當的;聰明的	(adj) 迷路的;離開正道的	(adj) 野蠻(人)的
apt	(adj) 易於...的;恰當的;聰明的	(adj) 迷路的;離開正道的	(adj) 野蠻(人)的	(adj) 赤腳的
astray	(adj) 迷路的;離開正道的	(adj) 野蠻(人)的	(adj) 有益的;有利的	(adj) 貧瘠的;荒蕪的;不妊的
barbarian	(adj) 野蠻(人)的	(adj) 赤腳的	(adj) 貧瘠的;荒蕪的;不妊的	(adj) 低沈的;男低音的
barefoot	(adj) 赤腳的	(adj) 貧瘠的;荒蕪的;不妊的	(adj) 低沈的;男低音的	(adj) 心愛的
barren	(adj) 貧瘠的;荒蕪的;不妊的	(adj) 低沈的;男低音的	(adj) 心愛的	(adj) 有益的;有利的
bass	(adj) 低沈的;男低音的	(adj) 心愛的	(adj) 有益的;有利的	(adj) 白膚金髮碧眼的
beloved	(adj) 心愛的	(adj) 有益的;有利的	(adj) 白膚金髮碧眼的	(adj) 有益的;有利的
beneficial	(adj) 有益的;有利的	(adj) 白膚金髮碧眼的	(adj) 有益的;有利的	(adj) 肉體的;身體的;有形的
blond	(adj) 白膚金髮碧眼的	(adj) 有益的;有利的	(adj) 肉體的;身體的;有形的	(adj) 無憂無慮的;輕鬆愉快的
blonde	(adj) 白膚金髮碧眼的	(adj) 肉體的;身體的;有形的	(adj) 無憂無慮的;輕鬆愉快的	(adj) 十分小心的;謹慎的
bodily	(adj) 肉體的;身體的;有形的	(adj) 無憂無慮的;輕鬆愉快的	(adj) 十分小心的;謹慎的	(adj) 攝氏的
carefree	(adj) 無憂無慮的;輕鬆愉快的	(adj) 十分小心的;謹慎的	(adj) 攝氏的	(adj) 圓胖的
cautious	(adj) 十分小心的;謹慎的	(adj) 攝氏的	(adj) 圓胖的	(adj) 城市的;市民的
centigrade	(adj) 攝氏的	(adj) 圓胖的	(adj) 城市的;市民的	(adj) 順時針方向的;右旋的
chubby	(adj) 圓胖的	(adj) 城市的;市民的	(adj) 順時針方向的;右旋的	(adj) 殖民地的;殖民的
civic	(adj) 城市的;市民的	(adj) 順時針方向的;右旋的	(adj) 殖民地的;殖民的	(adj) 平凡的;普通的
clockwise	(adj) 順時針方向的;右旋的	(adj) 殖民地的;殖民的	(adj) 平凡的;普通的	(adj) 共產主義的
colonial	(adj) 殖民地的;殖民的	(adj) 平凡的;普通的	(adj) 共產主義的	(adj) 緊密的;結實的;小型的
commonplace	(adj) 平凡的;普通的	(adj) 共產主義的	(adj) 緊密的;結實的;小型的	(adj) 有同情心的;慈悲的
communist	(adj) 共產主義的	(adj) 緊密的;結實的;小型的	(adj) 有同情心的;慈悲的	(adj) 合成的,複合的
compact	(adj) 緊密的;結實的;小型的	(adj) 有同情心的;慈悲的	(adj) 合成的,複合的	(adj) 體諒的
compassionate	(adj) 有同情心的;慈悲的	(adj) 合成的,複合的	(adj) 體諒的	(adj) 憲法的;生來的
compound	(adj) 合成的,複合的	(adj) 體諒的	(adj) 憲法的;生來的	(adj) 接觸傳染的;(感情等)感染性的
considerate	(adj) 體諒的	(adj) 憲法的;生來的	(adj) 接觸傳染的;(感情等)感染性的	(adj) 當代的
constitutional	(adj) 憲法的;生來的	(adj) 接觸傳染的;(感情等)感染性的	(adj) 當代的	(adj) 洲的;大陸的
contagious	(adj) 接觸傳染的;(感情等)感染性的	(adj) 當代的	(adj) 洲的;大陸的	(adj) 腐敗的;貪污的
contemporary	(adj) 當代的	(adj) 洲的;大陸的	(adj) 腐敗的;貪污的	(adj) 逆時針方向的
continental	(adj) 洲的;大陸的	(adj) 腐敗的;貪污的	(adj) 逆時針方向的	(adj) 膽小的;懦怯的
corrupt	(adj) 腐敗的;貪污的	(adj) 逆時針方向的	(adj) 膽小的;懦怯的	(adj) 舒適的;愜意的
counterclockwise	(adj) 逆時針方向的	(adj) 膽小的;懦怯的	(adj) 舒適的;愜意的	(adj) 水晶的
