cast	(v) 投,擲; 選派...扮演角色	(v) 以...為特色	(n) 性別;色情;性交;性慾;性感	(adj) 奇特的,古怪的;單數的
scatter	(n) 消散;分散	(n) 清單;目錄;時間表;課程表	(n) 學者	(n) 獎學金
schedule	(n) 清單;目錄;時間表;課程表	(n) 學者	(n) 獎學金	(n) 勺子;戽斗
scholar	(n) 學者	(n) 獎學金	(n) 勺子;戽斗	(n) 斥候;童子軍
scholarship	(n) 獎學金	(n) 勺子;戽斗	(n) 斥候;童子軍	(n) 尖叫;尖銳刺耳的聲音
scoop	(n) 勺子;戽斗	(n) 斥候;童子軍	(n) 尖叫;尖銳刺耳的聲音	(n) 螺釘,螺絲釘
scout	(n) 斥候;童子軍	(n) 尖叫;尖銳刺耳的聲音	(n) 螺釘,螺絲釘	(n) 擦洗,擦淨
scream	(n) 尖叫;尖銳刺耳的聲音	(n) 螺釘,螺絲釘	(n) 擦洗,擦淨	(n) 圖章,印信;封(印)
screw	(n) 螺釘,螺絲釘	(n) 擦洗,擦淨	(n) 圖章,印信;封(印)	(n) 安全;保安;保障;證券,債券證券,債券
scrub	(n) 擦洗,擦淨	(n) 圖章,印信;封(印)	(n) 安全;保安;保障;證券,債券證券,債券	(n) 分開;分離
seal	(n) 圖章,印信;封(印)	(n) 安全;保安;保障;證券,債券證券,債券	(n) 分開;分離	(n) 蔭;陰涼處;陰暗
security	(n) 安全;保安;保障;證券,債券證券,債券	(n) 分開;分離	(n) 蔭;陰涼處;陰暗	(n) 蔭;陰暗處;影子
separation	(n) 分開;分離	(n) 蔭;陰涼處;陰暗	(n) 蔭;陰暗處;影子	(n) 羞恥(心),羞愧(感)
shade	(n) 蔭;陰涼處;陰暗	(n) 蔭;陰暗處;影子	(n) 羞恥(心),羞愧(感)	(n) 洗髮精
shadow	(n) 蔭;陰暗處;影子	(n) 羞恥(心),羞愧(感)	(n) 洗髮精	(n) 剃刀,刮鬍刀;修面
shame	(n) 羞恥(心),羞愧(感)	(n) 洗髮精	(n) 剃刀,刮鬍刀;修面	(n) 牧羊人
shampoo	(n) 洗髮精	(n) 剃刀,刮鬍刀;修面	(n) 牧羊人	(n) 鏟子,鐵鍬
shave	(n) 剃刀,刮鬍刀;修面	(n) 牧羊人	(n) 鏟子,鐵鍬	(n) 嘆氣,嘆息
shepherd	(n) 牧羊人	(n) 鏟子,鐵鍬	(n) 嘆氣,嘆息	(n) 信號;暗號;交通指示燈
shovel	(n) 鏟子,鐵鍬	(n) 嘆氣,嘆息	(n) 信號;暗號;交通指示燈	(n) 類似;相似
sigh	(n) 嘆氣,嘆息	(n) 信號;暗號;交通指示燈	(n) 類似;相似	(n) 罪孽,罪惡
signal	(n) 信號;暗號;交通指示燈	(n) 類似;相似	(n) 罪孽,罪惡	(n) 一小口
similarity	(n) 類似;相似	(n) 罪孽,罪惡	(n) 一小口	(n) 處境,境遇
sin	(n) 罪孽,罪惡	(n) 一小口	(n) 處境,境遇	(n) 冰鞋
sip	(n) 一小口	(n) 處境,境遇	(n) 冰鞋	(n) 滑雪屐
situation	(n) 處境,境遇	(n) 冰鞋	(n) 滑雪屐	(n) 省略
skate	(n) 冰鞋	(n) 滑雪屐	(n) 省略	(n) 摩天樓
ski	(n) 滑雪屐	(n) 省略	(n) 摩天樓	(n) 奴隸
skip	(n) 省略	(n) 摩天樓	(n) 奴隸	(n) 袖子;袖套
skyscraper	(n) 摩天樓	(n) 奴隸	(n) 袖子;袖套	(n) 薄片
slave	(n) 奴隸	(n) 袖子;袖套	(n) 薄片	(n) 傾斜;坡度
sleeve	(n) 袖子;袖套	(n) 薄片	(n) 傾斜;坡度	(n) 猛咬;突然折斷;劈啪聲;快照;活力
slice	(n) 薄片	(n) 傾斜;坡度	(n) 猛咬;突然折斷;劈啪聲;快照;活力	(n) 痛處;瘡,潰瘍;傷心事
slope	(n) 傾斜;坡度	(n) 猛咬;突然折斷;劈啪聲;快照;活力	(n) 痛處;瘡,潰瘍;傷心事	(n) 悲痛,悲哀,悲傷,憂傷
snap	(n) 猛咬;突然折斷;劈啪聲;快照;活力	(n) 痛處;瘡,潰瘍;傷心事	(n) 悲痛,悲哀,悲傷,憂傷	(n) 鏟;鍬
sore	(n) 痛處;瘡,潰瘍;傷心事	(n) 悲痛,悲哀,悲傷,憂傷	(n) 鏟;鍬	(n) 義大利麵條
sorrow	(n) 悲痛,悲哀,悲傷,憂傷	(n) 鏟;鍬	(n) 義大利麵條	(n) 香料,調味品;少許,一點
spade	(n) 鏟;鍬	(n) 義大利麵條	(n) 香料,調味品;少許,一點	(n) 溢出;濺出;散落
spaghetti	(n) 義大利麵條	(n) 香料,調味品;少許,一點	(n) 溢出;濺出;散落	(n) 旋轉;自旋
spice	(n) 香料,調味品;少許,一點	(n) 溢出;濺出;散落	(n) 旋轉;自旋	(n) 唾液,口水
spill	(n) 溢出;濺出;散落	(n) 旋轉;自旋	(n) 唾液,口水	(n) 惡意,心術不良
spin	(n) 旋轉;自旋	(n) 唾液,口水	(n) 惡意,心術不良	(n) 濺潑聲
spit	(n) 唾液,口水	(n) 惡意,心術不良	(n) 濺潑聲	(n) 扭傷
spite	(n) 惡意,心術不良	(n) 濺潑聲	(n) 扭傷	(n) 浪花;噴霧
splash	(n) 濺潑聲	(n) 扭傷	(n) 浪花;噴霧	(n) 稀疏小雨
sprain	(n) 扭傷	(n) 浪花;噴霧	(n) 稀疏小雨	(n) 間諜
spray	(n) 浪花;噴霧	(n) 稀疏小雨	(n) 間諜	(n) 榨;壓榨
sprinkle	(n) 稀疏小雨	(n) 間諜	(n) 榨;壓榨	(n) 刺,戳;刺破的傷口
spy	(n) 間諜	(n) 榨;壓榨	(n) 刺,戳;刺破的傷口	(n) 體育場,運動場;球場;競技場
squeeze	(n) 榨;壓榨	(n) 刺,戳;刺破的傷口	(n) 體育場,運動場;球場;競技場	(n) (全體)職員;幕僚
stab	(n) 刺,戳;刺破的傷口	(n) 體育場,運動場;球場;競技場	(n) (全體)職員;幕僚	(n) 凝視,注視
stadium	(n) 體育場,運動場;球場;競技場	(n) (全體)職員;幕僚	(n) 凝視,注視	(n) 雕像,塑像
staff	(n) (全體)職員;幕僚	(n) 凝視,注視	(n) 雕像,塑像	(n) (關係確定的)情侶;固定支架
stare	(n) 凝視,注視	(n) 雕像,塑像	(n) (關係確定的)情侶;固定支架	(n) 繼子(或繼女)
statue	(n) 雕像,塑像	(n) (關係確定的)情侶;固定支架	(n) 繼子(或繼女)	(n) 繼父,後父
steady	(n) (關係確定的)情侶;固定支架	(n) 繼子(或繼女)	(n) 繼父,後父	(n) 繼母,後母
stepchild	(n) 繼子(或繼女)	(n) 繼父,後父	(n) 繼母,後母	(n) 立體音響裝置
stepfather	(n) 繼父,後父	(n) 繼母,後母	(n) 立體音響裝置	(n) 螫針;刺
stepmother	(n) 繼母,後母	(n) 立體音響裝置	(n) 螫針;刺	(n) 撥動,攪拌
stereo	(n) 立體音響裝置	(n) 螫針;刺	(n) 撥動,攪拌	(n) 一針;(縫合傷口的)針線;針法
sting	(n) 螫針;刺	(n) 撥動,攪拌	(n) 一針;(縫合傷口的)針線;針法	(n) 長襪
stir	(n) 撥動,攪拌	(n) 一針;(縫合傷口的)針線;針法	(n) 長襪	(n) 胃
stitch	(n) 一針;(縫合傷口的)針線;針法	(n) 長襪	(n) 胃	(n) 凳子;擱腳凳;解大便
stocking	(n) 長襪	(n) 胃	(n) 凳子;擱腳凳;解大便	(n) 策略,計謀
stomach	(n) 胃	(n) 凳子;擱腳凳;解大便	(n) 策略,計謀	(n) 力量,力氣
stool	(n) 凳子;擱腳凳;解大便	(n) 策略,計謀	(n) 力量,力氣	(n) 條,帶;脫衣舞
strategy	(n) 策略,計謀	(n) 力量,力氣	(n) 條,帶;脫衣舞	(n) 結構;構造;建築物
strength	(n) 力量,力氣	(n) 條,帶;脫衣舞	(n) 結構;構造;建築物	(n) 工作室,畫室;雕塑室;照相館
strip	(n) 條,帶;脫衣舞	(n) 結構;構造;建築物	(n) 工作室,畫室;雕塑室;照相館	(n) 材料,原料;物品
structure	(n) 結構;構造;建築物	(n) 工作室,畫室;雕塑室;照相館	(n) 材料,原料;物品	(n) 時尚;風格;文體
studio	(n) 工作室,畫室;雕塑室;照相館	(n) 材料,原料;物品	(n) 時尚;風格;文體	(n) 物質;主旨;要義
stuff	(n) 材料,原料;物品	(n) 時尚;風格;文體	(n) 物質;主旨;要義	(n) 郊區
style	(n) 時尚;風格;文體	(n) 物質;主旨;要義	(n) 郊區	(n) 吸吮,吸食;一口
substance	(n) 物質;主旨;要義	(n) 郊區	(n) 吸吮,吸食;一口	(n) 自殺,自殺行為
suburb	(n) 郊區	(n) 吸吮,吸食;一口	(n) 自殺,自殺行為	(n) 總和,總計
suck	(n) 吸吮,吸食;一口	(n) 自殺,自殺行為	(n) 總和,總計	(n) 總結,摘要
suicide	(n) 自殺,自殺行為	(n) 總和,總計	(n) 總結,摘要	(n) 頂峰;最高級會議
sum	(n) 總和,總計	(n) 總結,摘要	(n) 頂峰;最高級會議	(n) 上司;長官
summary	(n) 總結,摘要	(n) 頂峰;最高級會議	(n) 上司;長官	(n) 調查;調查報告
summit	(n) 頂峰;最高級會議	(n) 上司;長官	(n) 調查;調查報告	(n) 倖存;殘存
superior	(n) 上司;長官	(n) 調查;調查報告	(n) 倖存;殘存	(n) 倖存者,生還者
survey	(n) 調查;調查報告	(n) 倖存;殘存	(n) 倖存者,生還者	(n) 嫌疑犯;可疑分子
survival	(n) 倖存;殘存	(n) 倖存者,生還者	(n) 嫌疑犯;可疑分子	(n) 懷疑,疑心,猜疑
survivor	(n) 倖存者,生還者	(n) 嫌疑犯;可疑分子	(n) 懷疑,疑心,猜疑	(n) 汗,汗水
suspect	(n) 嫌疑犯;可疑分子	(n) 懷疑,疑心,猜疑	(n) 汗,汗水	(n) 鼓起,膨脹
suspicion	(n) 懷疑,疑心,猜疑	(n) 汗,汗水	(n) 鼓起,膨脹	(n) 開關,電閘
sweat	(n) 汗,汗水	(n) 鼓起,膨脹	(n) 開關,電閘	(n) 劍,刀
swell	(n) 鼓起,膨脹	(n) 開關,電閘	(n) 劍,刀	(n) 系統
switch	(n) 開關,電閘	(n) 劍,刀	(n) 系統	(n) 藥片;小片
sword	(n) 劍,刀	(n) 系統	(n) 藥片;小片	(n) 大頭釘;圖釘
system	(n) 系統	(n) 藥片;小片	(n) 大頭釘;圖釘	(n) 標籤
tablet	(n) 藥片;小片	(n) 大頭釘;圖釘	(n) 標籤	(n) 裁縫師
tack	(n) 大頭釘;圖釘	(n) 標籤	(n) 裁縫師	(n) 龍頭;竊聽器
tag	(n) 標籤	(n) 裁縫師	(n) 龍頭;竊聽器	(n) 稅;稅金
tailor	(n) 裁縫師	(n) 龍頭;竊聽器	(n) 稅;稅金	(n) 戲弄;賣弄風騷的女孩
tap	(n) 龍頭;竊聽器	(n) 稅;稅金	(n) 戲弄;賣弄風騷的女孩	(n) 技巧;技術
tax	(n) 稅;稅金	(n) 戲弄;賣弄風騷的女孩	(n) 技巧;技術	(n) 工藝學;工藝
tease	(n) 戲弄;賣弄風騷的女孩	(n) 技巧;技術	(n) 工藝學;工藝	(n) 情緒;脾氣;暴躁
technique	(n) 技巧;技術	(n) 工藝學;工藝	(n) 情緒;脾氣;暴躁	(n) 溫度
technology	(n) 工藝學;工藝	(n) 情緒;脾氣;暴躁	(n) 溫度	(n) 領土,版圖
temper	(n) 情緒;脾氣;暴躁	(n) 溫度	(n) 領土,版圖	(n) 正文,本文
temperature	(n) 溫度	(n) 領土,版圖	(n) 正文,本文	(n) 學說;論說
territory	(n) 領土,版圖	(n) 正文,本文	(n) 學說;論說	(n) 渴,口渴
text	(n) 正文,本文	(n) 學說;論說	(n) 渴,口渴	(n) 線
theory	(n) 學說;論說	(n) 渴,口渴	(n) 線	(n) 威脅,恐嚇
thirst	(n) 渴,口渴	(n) 線	(n) 威脅,恐嚇	(n) 呵癢;癢感;使人癢的東西
thread	(n) 線	(n) 威脅,恐嚇	(n) 呵癢;癢感;使人癢的東西	(n) 潮汐;潮水
threat	(n) 威脅,恐嚇	(n) 呵癢;癢感;使人癢的東西	(n) 潮汐;潮水	(n) 木材;樹林
tickle	(n) 呵癢;癢感;使人癢的東西	(n) 潮汐;潮水	(n) 木材;樹林	(n) 紙巾;面紙;(動植物的)組織[
tide	(n) 潮汐;潮水	(n) 木材;樹林	(n) 紙巾;面紙;(動植物的)組織[	(n) 菸草;煙葉
timber	(n) 木材;樹林	(n) 紙巾;面紙;(動植物的)組織[	(n) 菸草;煙葉	(n) 噸
tissue	(n) 紙巾;面紙;(動植物的)組織[	(n) 菸草;煙葉	(n) 噸	(n) 陸龜;龜,烏龜
tobacco	(n) 菸草;煙葉	(n) 噸	(n) 陸龜;龜,烏龜	(n) 擲幣賭勝負
ton	(n) 噸	(n) 陸龜;龜,烏龜	(n) 擲幣賭勝負	(n) 旅遊,觀光
tortoise	(n) 陸龜;龜,烏龜	(n) 擲幣賭勝負	(n) 旅遊,觀光	(n) 旅遊者,觀光者
toss	(n) 擲幣賭勝負	(n) 旅遊,觀光	(n) 旅遊者,觀光者	(n) 拖,拉;牽引;拖輪;拖曳車
tourism	(n) 旅遊,觀光	(n) 旅遊者,觀光者	(n) 拖,拉;牽引;拖輪;拖曳車	(n) 蹤跡
tourist	(n) 旅遊者,觀光者	(n) 拖,拉;牽引;拖輪;拖曳車	(n) 蹤跡	(n) 商人;交易人
tow	(n) 拖,拉;牽引;拖輪;拖曳車	(n) 蹤跡	(n) 商人;交易人	(n) 拖曳物,尾部
trace	(n) 蹤跡	(n) 商人;交易人	(n) 拖曳物,尾部	(n) 交通工具
trader	(n) 商人;交易人	(n) 拖曳物,尾部	(n) 交通工具	(n) 垃圾
trail	(n) 拖曳物,尾部	(n) 交通工具	(n) 垃圾	(n) 旅客;遊客
transport	(n) 交通工具	(n) 垃圾	(n) 旅客;遊客	(n) 盤子,托盤
trash	(n) 垃圾	(n) 旅客;遊客	(n) 盤子,托盤	(n) 震顫,發抖
traveler	(n) 旅客;遊客	(n) 盤子,托盤	(n) 震顫,發抖	(n) 趨勢,傾向;時尚
tray	(n) 盤子,托盤	(n) 震顫,發抖	(n) 趨勢,傾向;時尚	(n) 部落;種族
tremble	(n) 震顫,發抖	(n) 趨勢,傾向;時尚	(n) 部落;種族	(n) 軍隊,部隊
trend	(n) 趨勢,傾向;時尚	(n) 部落;種族	(n) 軍隊,部隊	(n) 樹幹;大血管
tribe	(n) 部落;種族	(n) 軍隊,部隊	(n) 樹幹;大血管	(n) 浴缸
troop	(n) 軍隊,部隊	(n) 樹幹;大血管	(n) 浴缸	(n) 牽引,拖曳
trunk	(n) 樹幹;大血管	(n) 浴缸	(n) 牽引,拖曳	(n) 鬱金香
tub	(n) 浴缸	(n) 牽引,拖曳	(n) 鬱金香	(n) 跌跤;墜落
tug	(n) 牽引,拖曳	(n) 鬱金香	(n) 跌跤;墜落	(n) 肚子
tulip	(n) 鬱金香	(n) 跌跤;墜落	(n) 肚子	(n) 曲調;歌曲
tumble	(n) 跌跤;墜落	(n) 肚子	(n) 曲調;歌曲	(n) 家庭教師
tummy	(n) 肚子	(n) 曲調;歌曲	(n) 家庭教師	(n) 細枝;嫩枝
tune	(n) 曲調;歌曲	(n) 家庭教師	(n) 細枝;嫩枝	(n) 孿生兒
tutor	(n) 家庭教師	(n) 細枝;嫩枝	(n) 孿生兒	(n) 扭傷;曲解
twig	(n) 細枝;嫩枝	(n) 孿生兒	(n) 扭傷;曲解	(n) 打字機
twin	(n) 孿生兒	(n) 扭傷;曲解	(n) 打字機	(n) 工會;結合
twist	(n) 扭傷;曲解	(n) 打字機	(n) 工會;結合	(n) 整體;一貫性
typewriter	(n) 打字機	(n) 工會;結合	(n) 整體;一貫性	(n) 宇宙
union	(n) 工會;結合	(n) 整體;一貫性	(n) 宇宙	(n) 翻倒;傾覆
unity	(n) 整體;一貫性	(n) 宇宙	(n) 翻倒;傾覆	(n) 有蓋小貨車
universe	(n) 宇宙	(n) 翻倒;傾覆	(n) 有蓋小貨車	(n) 多樣化,變化
upset	(n) 翻倒;傾覆	(n) 有蓋小貨車	(n) 多樣化,變化	(n) 花瓶
van	(n) 有蓋小貨車	(n) 多樣化,變化	(n) 花瓶	(n) 車輛;飛行器;傳播媒介;工具
variety	(n) 多樣化,變化	(n) 花瓶	(n) 車輛;飛行器;傳播媒介;工具	(n) 詩;韻文
vase	(n) 花瓶	(n) 車輛;飛行器;傳播媒介;工具	(n) 詩;韻文	(n) 背心
vehicle	(n) 車輛;飛行器;傳播媒介;工具	(n) 詩;韻文	(n) 背心	(n) 副(總統、校長、總裁等)
verse	(n) 詩;韻文	(n) 背心	(n) 副(總統、校長、總裁等)	(n) 受害者
vest	(n) 背心	(n) 副(總統、校長、總裁等)	(n) 受害者	(n) 暴力行為
vice-president	(n) 副(總統、校長、總裁等)	(n) 受害者	(n) 暴力行為	(n) 紫蘿蘭
victim	(n) 受害者	(n) 暴力行為	(n) 紫蘿蘭	(n) 視力;視覺;洞察力
violence	(n) 暴力行為	(n) 紫蘿蘭	(n) 視力;視覺;洞察力	(n) 維他命
violet	(n) 紫蘿蘭	(n) 視力;視覺;洞察力	(n) 維他命	(n) 卷,冊
vision	(n) 視力;視覺;洞察力	(n) 維他命	(n) 卷,冊	(n) 搖擺; 愛說笑打趣的人
vitamin	(n) 維他命	(n) 卷,冊	(n) 搖擺; 愛說笑打趣的人	(n) 薪水;報酬
volume	(n) 卷,冊	(n) 搖擺; 愛說笑打趣的人	(n) 薪水;報酬	(n) 代價;報償;工資總額
wag	(n) 搖擺; 愛說笑打趣的人	(n) 薪水;報酬	(n) 代價;報償;工資總額	(n) 運貨馬車
wage	(n) 薪水;報酬	(n) 代價;報償;工資總額	(n) 運貨馬車	(n) 遊蕩;徘徊
wages	(n) 代價;報償;工資總額	(n) 運貨馬車	(n) 遊蕩;徘徊	(n) 溫暖;親切;熱情
wagon	(n) 運貨馬車	(n) 遊蕩;徘徊	(n) 溫暖;親切;熱情	(n) 蠟;蜂蠟;耳垢
wander	(n) 遊蕩;徘徊	(n) 溫暖;親切;熱情	(n) 蠟;蜂蠟;耳垢	(n) 財富;大量
warmth	(n) 溫暖;親切;熱情	(n) 蠟;蜂蠟;耳垢	(n) 財富;大量	(n) 織法,編法
wax	(n) 蠟;蜂蠟;耳垢	(n) 財富;大量	(n) 織法,編法	(n) 蜘蛛網;網狀物
wealth	(n) 財富;大量	(n) 織法,編法	(n) 蜘蛛網;網狀物	(n) 雜草;野草
weave	(n) 織法,編法	(n) 蜘蛛網;網狀物	(n) 雜草;野草	(n) 哭泣
web	(n) 蜘蛛網;網狀物	(n) 雜草;野草	(n) 哭泣	(n) 小麥
weed	(n) 雜草;野草	(n) 哭泣	(n) 小麥	(n) 抽打;拍擊
weep	(n) 哭泣	(n) 小麥	(n) 抽打;拍擊	(n) 口哨;警笛
wheat	(n) 小麥	(n) 抽打;拍擊	(n) 口哨;警笛	(n) 柳
whip	(n) 抽打;拍擊	(n) 口哨;警笛	(n) 柳	(n) 眨眼;瞬間
whistle	(n) 口哨;警笛	(n) 柳	(n) 眨眼;瞬間	(n) 擦,揩
willow	(n) 柳	(n) 眨眼;瞬間	(n) 擦,揩	(n) 智慧,才智;名言
wink	(n) 眨眼;瞬間	(n) 擦,揩	(n) 智慧,才智;名言	(n) 覆蓋物
wipe	(n) 擦,揩	(n) 智慧,才智;名言	(n) 覆蓋物	(n) 手腕
wisdom	(n) 智慧,才智;名言	(n) 覆蓋物	(n) 手腕	(n) X光照片
wrap	(n) 覆蓋物	(n) 手腕	(n) X光照片	(n) 呵欠
wrist	(n) 手腕	(n) X光照片	(n) 呵欠	(n) 叫喊;吼叫;歡呼
X-ray	(n) X光照片	(n) 呵欠	(n) 叫喊;吼叫;歡呼	(n) 蛋黃
yawn	(n) 呵欠	(n) 叫喊;吼叫;歡呼	(n) 蛋黃	(n) 年輕人
yell	(n) 叫喊;吼叫;歡呼	(n) 蛋黃	(n) 年輕人	(n) 拉鍊
yolk	(n) 蛋黃	(n) 年輕人	(n) 拉鍊	(n) 地區;時區;(地)層
youngster	(n) 年輕人	(n) 拉鍊	(n) 地區;時區;(地)層	
zipper	(n) 拉鍊	(n) 蛋黃	(n) 手腕	(n) X光照片
zone	(n) 地區;時區;(地)層	(n) 蛋黃	(n) 手腕	(n) X光照片
