tone	(n) 音色,音調;色調	(adj) 能;有能力的	(adj) 上文的,前述的	(adj) 成年的
rope	(n) 粗繩	(n) 玫瑰	(n) 一輪,一回合,一場,一局;圓形物	(n) 行列
rose	(n) 玫瑰	(n) 一輪,一回合,一場,一局;圓形物	(n) 行列	(n) 摩擦,擦;阻難;疑難點
round	(n) 一輪,一回合,一場,一局;圓形物	(n) 行列	(n) 摩擦,擦;阻難;疑難點	(n) 橡膠
row	(n) 行列	(n) 摩擦,擦;阻難;疑難點	(n) 橡膠	(n) 規則
rub	(n) 摩擦,擦;阻難;疑難點	(n) 橡膠	(n) 規則	(n) 保險箱
rubber	(n) 橡膠	(n) 規則	(n) 保險箱	(n) 帆,篷;帆狀物;船隻
rule	(n) 規則	(n) 保險箱	(n) 帆,篷;帆狀物;船隻	(n) 售賣;賤賣
safe	(n) 保險箱	(n) 帆,篷;帆狀物;船隻	(n) 售賣;賤賣	(n) 鹽
sail	(n) 帆,篷;帆狀物;船隻	(n) 售賣;賤賣	(n) 鹽	(n) 沙
sale	(n) 售賣;賤賣	(n) 鹽	(n) 沙	(n) 星期六
salt	(n) 鹽	(n) 沙	(n) 星期六	(n) 鋸子;鋸條
sand	(n) 沙	(n) 星期六	(n) 鋸子;鋸條	(n) 驚恐;驚嚇
Saturday	(n) 星期六	(n) 鋸子;鋸條	(n) 驚恐;驚嚇	(n) 學校
saw	(n) 鋸子;鋸條	(n) 驚恐;驚嚇	(n) 學校	(n) 海
scare	(n) 驚恐;驚嚇	(n) 學校	(n) 海	(n) 季節
school	(n) 學校	(n) 海	(n) 季節	(n) 座位
sea	(n) 海	(n) 季節	(n) 座位	(n) 第二;秒
season	(n) 季節	(n) 座位	(n) 第二;秒	(n) 種子
seat	(n) 座位	(n) 第二;秒	(n) 種子	(n) 蹺蹺板
second	(n) 第二;秒	(n) 種子	(n) 蹺蹺板	(n) 自身,自己;自我
seed	(n) 種子	(n) 蹺蹺板	(n) 自身,自己;自我	(n) 感官;官能
seesaw	(n) 蹺蹺板	(n) 自身,自己;自我	(n) 感官;官能	(n) 句子
self	(n) 自身,自己;自我	(n) 感官;官能	(n) 句子	(n) 九月
sense	(n) 感官;官能	(n) 句子	(n) 九月	(n) 服務
sentence	(n) 句子	(n) 九月	(n) 服務	(n) 套;組
September	(n) 九月	(n) 服務	(n) 套;組	(n) 七
service	(n) 服務	(n) 套;組	(n) 七	(n) 十七
set	(n) 套;組	(n) 七	(n) 十七	(n) 七十
seven	(n) 七	(n) 十七	(n) 七十	(n) 搖動;奶昔
seventeen	(n) 十七	(n) 七十	(n) 搖動;奶昔	(n) 形狀
seventy	(n) 七十	(n) 搖動;奶昔	(n) 形狀	(n) 鯊魚
shake	(n) 搖動;奶昔	(n) 形狀	(n) 鯊魚	(n) 綿羊
shape	(n) 形狀	(n) 鯊魚	(n) 綿羊	(n) 一張(紙);床單
shark	(n) 鯊魚	(n) 綿羊	(n) 一張(紙);床單	(n) 光,光亮;光澤;擦亮;陽光,晴天
sheep	(n) 綿羊	(n) 一張(紙);床單	(n) 光,光亮;光澤;擦亮;陽光,晴天	(n) 船
sheet	(n) 一張(紙);床單	(n) 光,光亮;光澤;擦亮;陽光,晴天	(n) 船	(n) 襯衫
shine	(n) 光,光亮;光澤;擦亮;陽光,晴天	(n) 船	(n) 襯衫	(n) 鞋子
ship	(n) 船	(n) 襯衫	(n) 鞋子	(n) 商店
shirt	(n) 襯衫	(n) 鞋子	(n) 商店	(n) 岸邊
shoe	(n) 鞋子	(n) 商店	(n) 岸邊	(n) 射擊,開槍;投籃;拍攝
shop	(n) 商店	(n) 岸邊	(n) 射擊,開槍;投籃;拍攝	(n) 肩膀
shore	(n) 岸邊	(n) 射擊,開槍;投籃;拍攝	(n) 肩膀	(n) 呼喊;喊叫聲
shot	(n) 射擊,開槍;投籃;拍攝	(n) 肩膀	(n) 呼喊;喊叫聲	(n) 展覽;電影
shoulder	(n) 肩膀	(n) 呼喊;喊叫聲	(n) 展覽;電影	(n) 邊
shout	(n) 呼喊;喊叫聲	(n) 展覽;電影	(n) 邊	(n) 視力;景象
show	(n) 展覽;電影	(n) 邊	(n) 視力;景象	(n) 銀
side	(n) 邊	(n) 視力;景象	(n) 銀	(n) 歌手
sight	(n) 視力;景象	(n) 銀	(n) 歌手	(n) 先生
silver	(n) 銀	(n) 歌手	(n) 先生	(n) 姊妹
singer	(n) 歌手	(n) 先生	(n) 姊妹	(n) 六
sir	(n) 先生	(n) 姊妹	(n) 六	(n) 十六
sister	(n) 姊妹	(n) 六	(n) 十六	(n) 六十
six	(n) 六	(n) 十六	(n) 六十	(n) 大小;尺寸
sixteen	(n) 十六	(n) 六十	(n) 大小;尺寸	(n) 技能
sixty	(n) 六十	(n) 大小;尺寸	(n) 技能	(n) 皮膚
size	(n) 大小;尺寸	(n) 技能	(n) 皮膚	(n) 天空
skill	(n) 技能	(n) 皮膚	(n) 天空	(n) 睡眠;死亡;冬眠
skin	(n) 皮膚	(n) 天空	(n) 睡眠;死亡;冬眠	(n) 細小的部分;小件物品
sky	(n) 天空	(n) 睡眠;死亡;冬眠	(n) 細小的部分;小件物品	(n) 氣味;香味;臭味;嗅覺;一嗅,一聞;少許;跡象,影蹤
sleep	(n) 睡眠;死亡;冬眠	(n) 細小的部分;小件物品	(n) 氣味;香味;臭味;嗅覺;一嗅,一聞;少許;跡象,影蹤	(n) 微笑
small	(n) 細小的部分;小件物品	(n) 氣味;香味;臭味;嗅覺;一嗅,一聞;少許;跡象,影蹤	(n) 微笑	(n) 煙
smell	(n) 氣味;香味;臭味;嗅覺;一嗅,一聞;少許;跡象,影蹤	(n) 微笑	(n) 煙	(n) 蛇
smile	(n) 微笑	(n) 煙	(n) 蛇	(n) 雪
smoke	(n) 煙	(n) 蛇	(n) 雪	(n) 肥皂
snake	(n) 蛇	(n) 雪	(n) 肥皂	(n) 蘇打;汽水
snow	(n) 雪	(n) 肥皂	(n) 蘇打;汽水	(n) 沙發
soap	(n) 肥皂	(n) 蘇打;汽水	(n) 沙發	(n) 土,泥土,土壤
soda	(n) 蘇打;汽水	(n) 沙發	(n) 土,泥土,土壤	(n) 某人;有名氣的人
sofa	(n) 沙發	(n) 土,泥土,土壤	(n) 某人;有名氣的人	(n) 某人;某事;重要的人(或事物);
soil	(n) 土,泥土,土壤	(n) 某人;有名氣的人	(n) 某人;某事;重要的人(或事物);	(n) 兒子
someone	(n) 某人;有名氣的人	(n) 某人;某事;重要的人(或事物);	(n) 兒子	(n) 歌曲
something	(n) 某人;某事;重要的人(或事物);	(n) 兒子	(n) 歌曲	(n) 靈魂
son	(n) 兒子	(n) 歌曲	(n) 靈魂	(n) 聲音
song	(n) 歌曲	(n) 靈魂	(n) 聲音	(n) 湯
soul	(n) 靈魂	(n) 聲音	(n) 湯	(n) 酸味;酸的東西
sound	(n) 聲音	(n) 湯	(n) 酸味;酸的東西	(n) 南方
soup	(n) 湯	(n) 酸味;酸的東西	(n) 南方	(n) 空位;太空
sour	(n) 酸味;酸的東西	(n) 南方	(n) 空位;太空	(n) 言論;演講
south	(n) 南方	(n) 空位;太空	(n) 言論;演講	(n) 湯匙
space	(n) 空位;太空	(n) 言論;演講	(n) 湯匙	(n) 消遣;運動;突變
speech	(n) 言論;演講	(n) 湯匙	(n) 消遣;運動;突變	(n) 梯級;樓梯
spoon	(n) 湯匙	(n) 消遣;運動;突變	(n) 梯級;樓梯	(n) 攤子;停止,站立； 立場;態度
sport	(n) 消遣;運動;突變	(n) 梯級;樓梯	(n) 攤子;停止,站立； 立場;態度	(n) 星星;明星
stair	(n) 梯級;樓梯	(n) 攤子;停止,站立； 立場;態度	(n) 星星;明星	(n) 出發;開端;啟動
stand	(n) 攤子;停止,站立； 立場;態度	(n) 星星;明星	(n) 出發;開端;啟動	(n) 狀態；美國的州
star	(n) 星星;明星	(n) 出發;開端;啟動	(n) 狀態；美國的州	(n) 陳述,說明;結單
start	(n) 出發;開端;啟動	(n) 狀態；美國的州	(n) 陳述,說明;結單	(n) 車站;場所
state	(n) 狀態；美國的州	(n) 陳述,說明;結單	(n) 車站;場所	(n) 停留,逗留;停止;延後;持續力
statement	(n) 陳述,說明;結單	(n) 車站;場所	(n) 停留,逗留;停止;延後;持續力	(n) 步;臺階
station	(n) 車站;場所	(n) 停留,逗留;停止;延後;持續力	(n) 步;臺階	(n) 石頭
stay	(n) 停留,逗留;停止;延後;持續力	(n) 步;臺階	(n) 石頭	(n) 車站
step	(n) 步;臺階	(n) 石頭	(n) 車站	(n) 商店
stone	(n) 石頭	(n) 車站	(n) 商店	(n) 故事;樓層
stop	(n) 車站	(n) 商店	(n) 故事;樓層	(n) 街道
store	(n) 商店	(n) 故事;樓層	(n) 街道	(n) 學生
story	(n) 故事;樓層	(n) 街道	(n) 學生	(n) 書房
street	(n) 街道	(n) 學生	(n) 書房	(n) 糖
student	(n) 學生	(n) 書房	(n) 糖	(n) 夏天
study	(n) 書房	(n) 糖	(n) 夏天	(n) 太陽
sugar	(n) 糖	(n) 夏天	(n) 太陽	(n) 星期日
summer	(n) 夏天	(n) 太陽	(n) 星期日	(n) 晚餐
sun	(n) 太陽	(n) 星期日	(n) 晚餐	(n) 意外之事物
Sunday	(n) 星期日	(n) 晚餐	(n) 意外之事物	(n) (餐後的)甜點;(用作稱呼語)親愛的,寶貝
supper	(n) 晚餐	(n) 意外之事物	(n) (餐後的)甜點;(用作稱呼語)親愛的,寶貝	(n) 游泳;暈眩,眼花;潮流
surprise	(n) 意外之事物	(n) (餐後的)甜點;(用作稱呼語)親愛的,寶貝	(n) 游泳;暈眩,眼花;潮流	(n) 桌子;表,目錄
sweet	(n) (餐後的)甜點;(用作稱呼語)親愛的,寶貝	(n) 游泳;暈眩,眼花;潮流	(n) 桌子;表,目錄	(n) 尾巴
swim	(n) 游泳;暈眩,眼花;潮流	(n) 桌子;表,目錄	(n) 尾巴	(n) 故事,傳說;謊話
table	(n) 桌子;表,目錄	(n) 尾巴	(n) 故事,傳說;謊話	(n) 談話;交談;空話;話題;談判
tail	(n) 尾巴	(n) 故事,傳說;謊話	(n) 談話;交談;空話;話題;談判	(n) 味道,滋味;體驗;風雅;得體;興趣
tale	(n) 故事,傳說;謊話	(n) 談話;交談;空話;話題;談判	(n) 味道,滋味;體驗;風雅;得體;興趣	(n) 計程車
talk	(n) 談話;交談;空話;話題;談判	(n) 味道,滋味;體驗;風雅;得體;興趣	(n) 計程車	(n) 計程車
taste	(n) 味道,滋味;體驗;風雅;得體;興趣	(n) 計程車	(n) 計程車	(n) 茶
taxi	(n) 計程車	(n) 計程車	(n) 茶	(n) 老師
taxicab	(n) 計程車	(n) 茶	(n) 老師	(n) 十
tea	(n) 茶	(n) 老師	(n) 十	(n) 感謝;謝意;謝辭
teacher	(n) 老師	(n) 十	(n) 感謝;謝意;謝辭	(n) 那時,當時
ten	(n) 十	(n) 感謝;謝意;謝辭	(n) 那時,當時	(n) 那個地方,那裡
thank	(n) 感謝;謝意;謝辭	(n) 那時,當時	(n) 那個地方,那裡	(n) 事物;東西
then	(n) 那時,當時	(n) 那個地方,那裡	(n) 事物;東西	(n) 第三;三分之一
there	(n) 那個地方,那裡	(n) 事物;東西	(n) 第三;三分之一	(n) 十三
thing	(n) 事物;東西	(n) 第三;三分之一	(n) 十三	(n) 三十
third	(n) 第三;三分之一	(n) 十三	(n) 三十	(n) 思想
thirteen	(n) 十三	(n) 三十	(n) 思想	(n) 千
thirty	(n) 三十	(n) 思想	(n) 千	(n) 三
thought	(n) 思想	(n) 千	(n) 三	(n) 投擲;披巾;(沙發等的)罩單
thousand	(n) 千	(n) 三	(n) 投擲;披巾;(沙發等的)罩單	(n) 星期四
three	(n) 三	(n) 投擲;披巾;(沙發等的)罩單	(n) 星期四	(n) 票;罰單
throw	(n) 投擲;披巾;(沙發等的)罩單	(n) 星期四	(n) 票;罰單	(n) 結;領帶;平手
Thursday	(n) 星期四	(n) 票;罰單	(n) 結;領帶;平手	(n) 老虎
ticket	(n) 票;罰單	(n) 結;領帶;平手	(n) 老虎	(n) 時間;次數
tie	(n) 結;領帶;平手	(n) 老虎	(n) 時間;次數	(n) 輪胎
tiger	(n) 老虎	(n) 時間;次數	(n) 輪胎	(n) 今天
time	(n) 時間;次數	(n) 輪胎	(n) 今天	(n) 明天
tire	(n) 輪胎	(n) 今天	(n) 明天	(n) 今夜;今晚
today	(n) 今天	(n) 明天	(n) 今夜;今晚	(n) 工具
tomorrow	(n) 明天	(n) 今夜;今晚	(n) 工具	(n) 頂部; 陀螺
tonight	(n) 今夜;今晚	(n) 工具	(n) 頂部; 陀螺	(n) 總額
tool	(n) 工具	(n) 頂部; 陀螺	(n) 總額	(n)  接觸
top	(n) 頂部; 陀螺	(n) 總額	(n)  接觸	(n) 城市
total	(n) 總額	(n)  接觸	(n) 城市	(n) 玩具
touch	(n)  接觸	(n) 城市	(n) 玩具	(n) 火車
town	(n) 城市	(n) 玩具	(n) 火車	(n) 樹木
toy	(n) 玩具	(n) 火車	(n) 樹木	(n) 旅行
train	(n) 火車	(n) 樹木	(n) 旅行	(n) 麻煩
tree	(n) 樹木	(n) 旅行	(n) 麻煩	(n) 嘗試;努力
trip	(n) 旅行	(n) 麻煩	(n) 嘗試;努力	(n) 短袖圓領運動衫
trouble	(n) 麻煩	(n) 嘗試;努力	(n) 短袖圓領運動衫	(n) 星期二
try	(n) 嘗試;努力	(n) 短袖圓領運動衫	(n) 星期二	(n) 輪到
T-shirt	(n) 短袖圓領運動衫	(n) 星期二	(n) 輪到	(n) 十二
Tuesday	(n) 星期二	(n) 輪到	(n) 十二	(n) 二十
turn	(n) 輪到	(n) 十二	(n) 二十	(n) 二
twelve	(n) 十二	(n) 二十	(n) 二	(n) 叔叔
twenty	(n) 二十	(n) 二	(n) 叔叔	(n) 單位;單元;組件
two	(n) 二	(n) 叔叔	(n) 單位;單元;組件	(n) 上升;走運
uncle	(n) 叔叔	(n) 單位;單元;組件	(n) 上升;走運	(n) 樓上
unit	(n) 單位;單元;組件	(n) 上升;走運	(n) 樓上	(n) 用途
up	(n) 上升;走運	(n) 樓上	(n) 用途	(n) 蔬菜
upstairs	(n) 樓上	(n) 用途	(n) 蔬菜	(n) 視力;視野;看法
use	(n) 用途	(n) 蔬菜	(n) 視力;視野;看法	(n) 訪問
vegetable	(n) 蔬菜	(n) 視力;視野;看法	(n) 訪問	(n) (人的)聲音
view	(n) 視力;視野;看法	(n) 訪問	(n) (人的)聲音	(n) 等待;等待的時間
visit	(n) 訪問	(n) (人的)聲音	(n) 等待;等待的時間	(n) 散步;人行道;四壞球保送上一壘
voice	(n) (人的)聲音	(n) 等待;等待的時間	(n) 散步;人行道;四壞球保送上一壘	(n) 牆
wait	(n) 等待;等待的時間	(n) 散步;人行道;四壞球保送上一壘	(n) 牆	(n) 需要的東西;必需品;缺乏;匱乏
walk	(n) 散步;人行道;四壞球保送上一壘	(n) 牆	(n) 需要的東西;必需品;缺乏;匱乏	(n) 戰爭
wall	(n) 牆	(n) 需要的東西;必需品;缺乏;匱乏	(n) 戰爭	(n) 暖和的地方;取暖,加熱
want	(n) 需要的東西;必需品;缺乏;匱乏	(n) 戰爭	(n) 暖和的地方;取暖,加熱	(n) 暖和；加溫
war	(n) 戰爭	(n) 暖和的地方;取暖,加熱	(n) 暖和；加溫	(n) 洗,洗滌;要洗的(洗好的)衣服
warm	(n) 暖和的地方;取暖,加熱	(n) 暖和；加溫	(n) 洗,洗滌;要洗的(洗好的)衣服	(n) 浪費
warming	(n) 暖和；加溫	(n) 洗,洗滌;要洗的(洗好的)衣服	(n) 浪費	(n) 手錶
wash	(n) 洗,洗滌;要洗的(洗好的)衣服	(n) 浪費	(n) 手錶	(n) 水
waste	(n) 浪費	(n) 手錶	(n) 水	(n) 方法;路
watch	(n) 手錶	(n) 水	(n) 方法;路	(n) 穿;戴;佩;磨損
water	(n) 水	(n) 方法;路	(n) 穿;戴;佩;磨損	(n) 天氣
way	(n) 方法;路	(n) 穿;戴;佩;磨損	(n) 天氣	(n) 婚禮
wear	(n) 穿;戴;佩;磨損	(n) 天氣	(n) 婚禮	(n) 星期三
weather	(n) 天氣	(n) 婚禮	(n) 星期三	(n) 星期
wedding	(n) 婚禮	(n) 星期三	(n) 星期	(n) 周末
Wednesday	(n) 星期三	(n) 星期	(n) 周末	(n) 重量
week	(n) 星期	(n) 周末	(n) 重量	(n) 歡迎,款待;歡迎辭
weekend	(n) 周末	(n) 重量	(n) 歡迎,款待;歡迎辭	(n) 井,水井;採光井;通風井
weight	(n) 重量	(n) 歡迎,款待;歡迎辭	(n) 井,水井;採光井;通風井	(n) 西方
welcome	(n) 歡迎,款待;歡迎辭	(n) 井,水井;採光井;通風井	(n) 西方	(n) 哪裡,何處; 地點
well	(n) 井,水井;採光井;通風井	(n) 西方	(n) 哪裡,何處; 地點	(n) 一會兒
west	(n) 西方	(n) 哪裡,何處; 地點	(n) 一會兒	(n) 全部,全體;整體
where	(n) 哪裡,何處; 地點	(n) 一會兒	(n) 全部,全體;整體	(n) 原因,理由;難解的問題,謎
while	(n) 一會兒	(n) 全部,全體;整體	(n) 原因,理由;難解的問題,謎	(n) 歪球,壞球
whole	(n) 全部,全體;整體	(n) 原因,理由;難解的問題,謎	(n) 歪球,壞球	(n) 妻子
why	(n) 原因,理由;難解的問題,謎	(n) 歪球,壞球	(n) 妻子	(n) 意志;決心;遺囑
wide	(n) 歪球,壞球	(n) 妻子	(n) 意志;決心;遺囑	(n) 獲勝,成功,贏;贏得物
wife	(n) 妻子	(n) 意志;決心;遺囑	(n) 獲勝,成功,贏;贏得物	(n) 風
will	(n) 意志;決心;遺囑	(n) 獲勝,成功,贏;贏得物	(n) 風	(n) 窗戶
win	(n) 獲勝,成功,贏;贏得物	(n) 風	(n) 窗戶	(n) 葡萄酒
wind	(n) 風	(n) 窗戶	(n) 葡萄酒	(n) 冬天
window	(n) 窗戶	(n) 葡萄酒	(n) 冬天	(n) 希望,願望;祝福,祈頌
wine	(n) 葡萄酒	(n) 冬天	(n) 希望,願望;祝福,祈頌	(n) 女人
winter	(n) 冬天	(n) 希望,願望;祝福,祈頌	(n) 女人	(n) 木材
wish	(n) 希望,願望;祝福,祈頌	(n) 女人	(n) 木材	(n) 字
woman	(n) 女人	(n) 木材	(n) 字	(n) 工作,作品
wood	(n) 木材	(n) 字	(n) 工作,作品	(n) 工人
word	(n) 字	(n) 工作,作品	(n) 工人	(n) 世界
work	(n) 工作,作品	(n) 工人	(n) 世界	(n) 蠕蟲
worker	(n) 工人	(n) 世界	(n) 蠕蟲	(n) 煩惱;焦慮;擔心
world	(n) 世界	(n) 蠕蟲	(n) 煩惱;焦慮;擔心	(n) 更糟的事
worm	(n) 蠕蟲	(n) 煩惱;焦慮;擔心	(n) 更糟的事	(n) 最壞者;最壞的部分;最壞的情況
worry	(n) 煩惱;焦慮;擔心	(n) 更糟的事	(n) 最壞者;最壞的部分;最壞的情況	(n) 作家
worse	(n) 更糟的事	(n) 最壞者;最壞的部分;最壞的情況	(n) 作家	(n) 錯誤;不道德;違法,犯罪;壞事
worst	(n) 最壞者;最壞的部分;最壞的情況	(n) 作家	(n) 錯誤;不道德;違法,犯罪;壞事	(n) 耶誕節 (=Christmas)
writer	(n) 作家	(n) 錯誤;不道德;違法,犯罪;壞事	(n) 耶誕節 (=Christmas)	(n) 山芋類植物
wrong	(n) 錯誤;不道德;違法,犯罪;壞事	(n) 耶誕節 (=Christmas)	(n) 山芋類植物	(n) 年
Xmas	(n) 耶誕節 (=Christmas)	(n) 山芋類植物	(n) 年	(n) 肯定的回答,同意;贊成票
yam	(n) 山芋類植物	(n) 年	(n) 肯定的回答,同意;贊成票	(n) 昨天;往昔
year	(n) 年	(n) 肯定的回答,同意;贊成票	(n) 昨天;往昔	(n) 青年們;雛
yes	(n) 肯定的回答,同意;贊成票	(n) 昨天;往昔	(n) 青年們;雛	(n) 零
yesterday	(n) 昨天;往昔	(n) 青年們;雛	(n) 零	(n) 動物園
young	(n) 青年們;雛	(n) 零	(n) 動物園	(n) 工人
zero	(n) 零	(n) 動物園	(n) 作家	(n) 錯誤;不道德;違法,犯罪;壞事
zoo	(n) 動物園	(n) 錯誤;不道德;違法,犯罪;壞事	(n) 耶誕節 (=Christmas)	(n) 山芋類植物
