唱える (となえる)	to recite	proof	unmarried woman 	to propose
ストライキ	strike 	stress	speed	sex
ストレス	stress	speed	sex	taste 
スピード	speed	sex	taste 	sauce 
セックス	sex	taste 	sauce 	timing
センス	taste 	sauce 	timing	time 
ソース	sauce 	timing	time 	tire
タイミング	timing	time 	tire	star 
タイム	time 	tire	star 	tower
タイヤ	tire	star 	tower	dozen
タレント	star 	tower	dozen	down 
タワー	tower	dozen	down 	change
ダース (打)	dozen	down 	change	channel
ダウン	down 	change	channel	data
チェンジ	change	channel	data	dessert 
チャネル	channel	data	dessert 	design
データ	data	dessert 	design	trouble
デザート	dessert 	design	trouble	dry 
デザイン	design	trouble	dry 	drill bit
トラブル	trouble	dry 	drill bit	nuance
ドライ	dry 	drill bit	nuance	neurosis
ドリル	drill bit	nuance	neurosis	badge
ニュアンス	nuance	neurosis	badge	bat 
ノイローゼ	neurosis	badge	bat 	pajamas
バッジ	badge	bat 	pajamas	pachinko
バット	bat 	pajamas	pachinko	patrol car
パジャマ	pajamas	pachinko	patrol car	puncture
パチンコ	pachinko	patrol car	puncture	hint
パトカー	patrol car	puncture	hint	business
パンク	puncture	hint	business	fan
ヒント	hint	business	fan	front 
ビジネス	business	fan	front 	boom
ファン	fan	front 	boom	best 
フロント	front 	boom	best 	hall 
ブーム	boom	best 	hall 	pot 
ベスト	best 	hall 	pot 	mark
ホール	hall 	pot 	mark	mass communication
ポット	pot 	mark	mass communication	Mrs
マーク	mark	mass communication	Mrs	music
マスコミ	mass communication	Mrs	music	mood
ミセス	Mrs	music	mood	manufacturer
ミュージック	music	mood	manufacturer	message
ムード	mood	manufacturer	message	media
メーカー	manufacturer	message	media	melody 
メッセージ	message	media	melody 	rule
メディア	media	melody 	rule	regular 
メロディー	melody 	rule	regular 	X-ray 
ルール	rule	regular 	X-ray 	rope
レギュラー	regular 	X-ray 	rope	romantic
レントゲン	X-ray 	rope	romantic	watt
ロープ	rope	romantic	watt	one breath
ロマンチック	romantic	watt	one breath	one defeat
ワット	watt	one breath	one defeat	emergency
一息 (ひといき)	one breath	one defeat	emergency	please
一敗 (いっぱい)	one defeat	emergency	please	seasoning
応急 (おうきゅう)	emergency	please	seasoning	the end
何卒 (なにとぞ)	please	seasoning	the end	class
加味 (かみ)	seasoning	the end	class	deep emotion
果て (はて)	the end	class	deep emotion	to fear
階層 (かいそう)	class	deep emotion	to fear	reception
感慨 (かんがい)	deep emotion	to fear	reception	industrial enterprise
危ぶむ (あやぶむ)	to fear	reception	industrial enterprise	empty
享受 (きょうじゅ)	reception	industrial enterprise	empty	connection
興業 (こうぎょう)	industrial enterprise	empty	connection	cultivation
虚しい (むなしい)	empty	connection	cultivation	spices
結びつき (むすびつき)	connection	cultivation	spices	embroidery
耕作 (こうさく)	cultivation	spices	embroidery	plan
香辛料 (こうしんりょう)	spices	embroidery	plan	timetable
刺繍 (ししゅう)	embroidery	plan	timetable	company owned house
思いつき (おもいつき)	plan	timetable	company owned house	to handle
時刻表 (じこくひょう)	timetable	company owned house	to handle	going to work 
社宅 (しゃたく)	company owned house	to handle	going to work 	promoting
手がける (てがける)	to handle	going to work 	promoting	to conform to
出社 (しゅっしゃ)	going to work 	promoting	to conform to	moment
増進 (ぞうしん)	promoting	to conform to	moment	body build
即する (そくする)	to conform to	moment	body build	animal husbandry
つかの間 (つかのま)	moment	body build	animal husbandry	long 
体つき (からだつき)	body build	animal husbandry	long 	to hurt
畜産 (ちくさん)	animal husbandry	long 	to hurt	jar
長編 (ちょうへん)	long 	to hurt	jar	escape
痛める (いためる)	to hurt	jar	escape	the same grade
壺 (つぼ)	jar	escape	the same grade	previously
逃亡 (とうぼう)	escape	the same grade	previously	taste
同級 (どうきゅう)	the same grade	previously	taste	lottery
かねて (予て)	previously	taste	lottery	right or wrong
嗜好 (しこう)	taste	lottery	right or wrong	deed
くじ引き (くじびき)	lottery	right or wrong	deed	to change
良し悪し (よしあし)	right or wrong	deed	to change	to shine
行い (おこない)	deed	to change	to shine	childcare worker
切り替える (きりかえる)	to change	to shine	childcare worker	to straddle
映える (はえる)	to shine	childcare worker	to straddle	to 
保母 (ほぼ)	childcare worker	to straddle	to 	in spite of
またがる (跨がる)	to straddle	to 	in spite of	easily
見かける (みかける)	to 	in spite of	easily	contrary
にもかかわらず (にも拘らず)	in spite of	easily	contrary	uncertain
あっさり	easily	contrary	uncertain	oh
あべこべ	contrary	uncertain	oh	indeed
あやふや	uncertain	oh	indeed	timidly
あら	oh	indeed	timidly	firmly
いかにも (如何にも)	indeed	timidly	firmly	solid
オドオド	timidly	firmly	solid	exactly
がっしり	firmly	solid	exactly	clearly
がっちり	solid	exactly	clearly	ticklish 
きっちり	exactly	clearly	ticklish 	to fuss over
きっぱり	clearly	ticklish 	to fuss over	altogether
くすぐったい (擽ったい)	ticklish 	to fuss over	altogether	quickly 
こだわる (拘る)	to fuss over	altogether	quickly 	Mr.
ことごとく (悉く)	altogether	quickly 	Mr.	to fail
さっと (颯と)	quickly 	Mr.	to fail	always
さん	Mr.	to fail	always	deliberately
しくじる	to fail	always	deliberately	decisively
しょっちゅう	always	deliberately	decisively	dragging a large or heavy item slowly 
じっくり	deliberately	decisively	dragging a large or heavy item slowly 	to slide
ずばり	decisively	dragging a large or heavy item slowly 	to slide	rough
ずるずる	dragging a large or heavy item slowly 	to slide	rough	loose 
ずれる	to slide	rough	loose 	full of 
ぞんざい	rough	loose 	full of 	sluggish
だぶだぶ	loose 	full of 	sluggish	often
だらけ	full of 	sluggish	often	surely
だるい (怠い)	sluggish	often	surely	huge
ちょくちょく	often	surely	huge	unthinkable
てっきり	surely	huge	unthinkable	in some way or other
でかい	huge	unthinkable	in some way or other	it seems like
とんだ	unthinkable	in some way or other	it seems like	to be exhausted
どうにか	in some way or other	it seems like	to be exhausted	intently
どうやら	it seems like	to be exhausted	intently	wet through
バテる	to be exhausted	intently	wet through	too large 
ひたすら (只管)	intently	wet through	too large 	dangling heavily
びっしょり	wet through	too large 	dangling heavily	very hungry
ぶかぶか	too large 	dangling heavily	very hungry	to become dim
ぶらぶら	dangling heavily	very hungry	to become dim	to be confused
ペコペコ	very hungry	to become dim	to be confused	to struggle
ぼやける	to become dim	to be confused	to struggle	puzzling
まごつく (間誤付く)	to be confused	to struggle	puzzling	elbowroom
もがく (藻掻く)	to struggle	puzzling	elbowroom	air mail
ややこしい	puzzling	elbowroom	air mail	to be truant
ゆとり	elbowroom	air mail	to be truant	misprint
エアメール	air mail	to be truant	misprint	cheap-looking
サボる	to be truant	misprint	cheap-looking	with
ミスプリント	misprint	cheap-looking	with	easy 
安っぽい (やすっぽい)	cheap-looking	with	easy 	to turn away 
もって (以て)	with	easy 	to turn away 	member
やすい (易い)	easy 	to turn away 	member	whirlpool
逸らす (そらす)	to turn away 	member	whirlpool	liar 
員 (いん)	member	whirlpool	liar 	smoky 
渦 (うず)	whirlpool	liar 	smoky 	to smoke 
嘘つき (うそつき)	liar 	smoky 	to smoke 	chemical combination
煙たい (けむたい)	smoky 	to smoke 	chemical combination	synthetic fiber
煙る (けむる)	to smoke 	chemical combination	synthetic fiber	temporary
化合 (かごう)	chemical combination	synthetic fiber	temporary	which 
化繊 (かせん)	synthetic fiber	temporary	which 	kotatsu
仮 (かり)	temporary	which 	kotatsu	months 
どれどれ (何れ何れ)	which 	kotatsu	months 	overcrowding
こたつ (炬燵)	kotatsu	months 	overcrowding	to become misty
ヶ月 (かげつ)	months 	overcrowding	to become misty	artistry
過密 (かみつ)	overcrowding	to become misty	artistry	... street
かすむ (霞む)	to become misty	artistry	... street	every kind
雅致 (がち)	artistry	... street	every kind	angle 
街 (がい)	... street	every kind	angle 	to come true 
各種 (かくしゅ)	every kind	angle 	to come true 	to grant 
角 (かく)	angle 	to come true 	to grant 	tolerance
叶う (かなう)	to come true 	to grant 	tolerance	purposely 
叶える (かなえる)	to grant 	tolerance	purposely 	to loosen
寛容 (かんよう)	tolerance	purposely 	to loosen	look
あえて (敢えて)	purposely 	to loosen	look	to go through
緩める (ゆるめる)	to loosen	look	to go through	relationship
観 (かん)	look	to go through	relationship	completely
貫く (つらぬく)	to go through	relationship	completely	married
間柄 (あいだがら)	relationship	completely	married	affected
まるっきり (丸っきり)	completely	married	affected	starting point
既婚 (きこん)	married	affected	starting point	well
きざ (気障)	affected	starting point	well	to deceive
起点 (きてん)	starting point	well	to deceive	legislative bill
よろしく (宜しく)	well	to deceive	legislative bill	to scoop
欺く (あざむく)	to deceive	legislative bill	to scoop	to rest
議案 (ぎあん)	legislative bill	to scoop	to rest	to hurry 
すくう (掬う)	to scoop	to rest	to hurry 	by force
休める (やすめる)	to rest	to hurry 	by force	to beg
急かす (せかす)	to hurry 	by force	to beg	training
強いて (しいて)	by force	to beg	training	bridge building
ねだる (強請る)	to beg	training	bridge building	still more
教習 (きょうしゅう)	training	bridge building	still more	exceedingly
橋渡し (はしわたし)	bridge building	still more	exceedingly	nearsightedness
まして (況して)	still more	exceedingly	nearsightedness	to incline
極めて (きわめて)	exceedingly	nearsightedness	to incline	to bless
近眼 (きんがん)	nearsightedness	to incline	to bless	Yours sincerely
傾ける (かたむける)	to incline	to bless	Yours sincerely	system
恵む (めぐむ)	to bless	Yours sincerely	system	to chip
敬具 (けいぐ)	Yours sincerely	system	to chip	monthly installment 
系 (けい)	system	to chip	monthly installment 	to turn up
欠く (かく)	to chip	monthly installment 	to turn up	shabby
月賦 (げっぷ)	monthly installment 	to turn up	shabby	honorific
まくる (捲る)	to turn up	shabby	honorific	to deceive
みすぼらしい (見窄らしい)	shabby	honorific	to deceive	to mix
ご (御)	honorific	to deceive	to mix	official
ごまかす (誤魔化す)	to deceive	to mix	official	government business
交える (まじえる)	to mix	official	government business	intended for ...
公 (おおやけ)	official	government business	intended for ...	dirt
公用 (こうよう)	government business	intended for ...	dirt	irresponsible
向け (むけ)	intended for ...	dirt	irresponsible	prosperous conditions
垢 (あか)	dirt	irresponsible	prosperous conditions	to set up 
いい加減 (いいかげん)	irresponsible	prosperous conditions	to set up 	to load 
好況 (こうきょう)	prosperous conditions	to set up 	to load 	now 
構える (かまえる)	to set up 	to load 	now 	re-
込める (こめる)	to load 	now 	re-	already
今更 (いまさら)	now 	re-	already	to judge
再 (さい)	re-	already	to judge	to be clear 
もはや (最早)	already	to judge	to be clear 	to point at
裁く (さばく)	to judge	to be clear 	to point at	to be able to possess 
冴える (さえる)	to be clear 	to point at	to be able to possess 	to entertain
指差す (ゆびさす)	to point at	to be able to possess 	to entertain	naturally
持てる (もてる)	to be able to possess 	to entertain	naturally	pretension
もてなす (持て成す)	to entertain	naturally	pretension	room 
おのずから (自ずから)	naturally	pretension	room 	or
うぬぼれ (自惚れ)	pretension	room 	or	little less than
室 (しつ)	room 	or	little less than	to surround
もしくは (若しくは)	or	little less than	to surround	to remove
弱 (じゃく)	little less than	to surround	to remove	especially
取り巻く (とりまく)	to surround	to remove	especially	to swell 
取り除く (とりのぞく)	to remove	especially	to swell 	to honor
殊に (ことに)	especially	to swell 	to honor	semi-express train
腫れる (はれる)	to swell 	to honor	semi-express train	to write down 
重んずる (おもんずる)	to honor	semi-express train	to write down 	various
準急 (じゅんきゅう)	semi-express train	to write down 	various	still more
書き取る (かきとる)	to write down 	various	still more	to be harmful to
諸 (しょ)	various	still more	to be harmful to	top and bottom
なおさら (尚更)	still more	to be harmful to	top and bottom	shape
障る (さわる)	to be harmful to	top and bottom	shape	counter for tatami mats 
上下 (うえした)	top and bottom	shape	counter for tatami mats 	new
